text,category,,,,,,,,,,,,,,,,,,,,,,,,
What is the weather forecast for tomorrow?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Explain the Pythagorean theorem.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
How do I make a cup of coffee?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Who won the FIFA World Cup in 2022?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Find the nearest coffee shop.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Summarize the plot of Pride and Prejudice.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Show me how to calculate compound interest.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
What's the capital of Norway?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Define photosynthesis.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
When was the Internet invented?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Convert 50 USD to Euros.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Find me a recipe for lasagna.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
How do I set up a new Gmail account?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Provide tips for improving my productivity.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
What's the time in Tokyo?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the life of Albert Einstein.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
List three benefits of exercise.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
What are the symptoms of the flu?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Explain Newton’s laws of motion.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
What is the boiling point of water?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Can you recommend a three-day travel itinerary for Paris, including must-visit places, restaurants, and activities?",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Write a short paragraph explaining the benefits of meditation for reducing stress and improving mental health.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"How does blockchain technology work, and what are its primary use cases in modern industries?",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Describe the process of photosynthesis in detail, focusing on the role of chlorophyll, sunlight, and carbon dioxide.",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
What are the key differences between renewable and non-renewable energy sources?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Can you explain how vaccines work to protect against diseases and why herd immunity is important?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
Summarize the main plot and themes of George Orwell's 1984.,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"What is machine learning, and how is it applied in real-world scenarios like self-driving cars and fraud detection?",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
How can someone improve their public speaking skills with consistent practice and feedback?,Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"What is the significance of the Great Wall of China, and why was it constructed?",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Explain the lifecycle of a butterfly, starting from the egg stage to its transformation into an adult butterfly. Describe how the caterpillar undergoes metamorphosis, forming a chrysalis before emerging as a butterfly. Mention the role of environmental factors such as temperature and predators in this lifecycle.",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Provide a brief overview of the American Civil Rights Movement. Include key events such as the Montgomery Bus Boycott, the March on Washington, and the Civil Rights Act of 1964. Highlight the roles played by prominent leaders like Martin Luther King Jr. and Rosa Parks.",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Write a step-by-step guide on how to bake a chocolate cake from scratch. Begin with the ingredients needed, including flour, sugar, eggs, cocoa powder, and baking powder. Include instructions for mixing, baking, and decorating the cake. Finally, suggest some tips for ensuring the cake is moist and flavorful.",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
"Discuss the importance of cybersecurity in today’s digital age. Explain how data breaches, phishing attacks, and ransomware impact individuals and organizations. Highlight the need for strong passwords, two-factor authentication, and regular software updates. Also, mention the role of cybersecurity professionals in safeguarding sensitive information.",Legitimate,,,,,,,,,,,,,,,,,,,,,,,,
